Week,Title,Lens,Essential Question,Theme,Standards
13,"Literary Theme, Point of View, and Identity",Literary Analysis,"How do authors shape identity, perspective, and conflict?","Theme development, point of view, characterization, identity, narrative craft, and Socratic discussion",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
14,Informational Text and Argument Analysis,Argument Analysis,How can readers evaluate whether an argument is strong?,"Claims, reasons, evidence, author purpose, rhetoric, bias, credibility, and analytical writing",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
15,Research Writing and Source Credibility,Research,How do researchers build trustworthy explanations from multiple sources?,"Research questions, search terms, source credibility, paraphrase, citation notes, plagiarism avoidance, and thesis development",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
16,"Narrative, Poetry, and Voice",Voice,How does voice carry meaning beyond literal words?,"Narrative craft, poetry, figurative language, tone, rhythm, dialogue, performance, and revision",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
17,Midyear Portfolio and Assessment,Midterm,How can I prove growth across every subject?,"Cumulative review, midterm, research checkpoint, math defense, science notebook audit, and advisory reflection",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
18,"Cells, Structure, and Function",Cells,How do tiny structures support life?,"Cell structures, microscopes/tools, structure-function, models, analogies, data, and explanatory writing",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
19,Body Systems and Homeostasis,Body Systems,How do systems work together to maintain balance?,"Human body systems, interaction, feedback, health decisions, data, and systems thinking",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
20,Genetics Foundations and Variation,Genetics,How do inheritance and environment shape living things?,"Inherited traits, variation, probability links, environment, models, and ethical scientific communication",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
21,"Ecosystems, Interdependence, and Human Impact",Ecosystems,How do relationships in ecosystems affect survival and responsibility?,"Food webs, biodiversity, carrying capacity foundations, ecosystem services, human impact, and stewardship proposals",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
22,"Matter, Atoms, and Chemical Foundations",Matter,How can particle models explain matter and change?,"Atoms, molecules, properties, conservation, mixtures, reactions foundations, models, and lab safety",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
23,"Energy, Forces, and Motion Systems",Energy Systems,How do forces and energy interact in systems?,"Energy transfer, forces, motion, graphs, variables, systems, and engineering design",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
24,"Earth Systems, Plate Tectonics, and Hazards",Earth Systems,How do Earth processes shape the planet and human decisions?,"Earth layers, plate tectonics foundations, earthquakes, volcanoes, maps, hazards, and engineering mitigation",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
25,"Weather, Climate, and Evidence",Climate Evidence,How can long-term data help communities understand risk?,"Atmosphere, weather/climate patterns, data, graphs, climate regions, natural hazards, and resilience planning",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
26,Medieval World and Feudal Systems,Medieval World,"How do belief, land, and power shape societies?","Medieval Europe, feudalism, social structures, religion, economics, primary sources, and perspective",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
27,Islamic Golden Age and Knowledge Networks,Knowledge Networks,How does knowledge travel and transform societies?,"Islamic civilizations, scholarship, trade, mathematics, medicine, art, architecture, and cross-cultural exchange",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
28,"Africa, Asia, and Global Trade",Global Trade,"How do trade routes connect geography, culture, and power?","West African empires, Indian Ocean trade, China, Japan, Southeast Asia, resources, culture, and exchange",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
29,"Renaissance, Reformation, and Humanism",Renaissance,"How can new ideas reshape art, belief, and society?","Renaissance art/science, humanism, printing, Reformation, ideas, conflict, and source comparison",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
30,Scientific Revolution and Enlightenment Foundations,Scientific Revolution,How do evidence and reason challenge old assumptions?,"Scientific reasoning, observation, evidence, rights, philosophy, government ideas, and public argument",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
31,"Economics, Labor, and Global Systems",Economics,How do economic systems affect human choices and dignity?,"Supply/demand foundations, labor, resources, trade, budgets, inequality, ethics, and economic decision-making",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
32,"World Languages, Culture, and Diplomacy",Language Diplomacy,How can language build connection across difference?,"Language families, sentence patterns, cultural protocol, translation limits, diplomacy, and global communication",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
33,"Technology, Algorithms, and Data Ethics",Data Ethics,How can technology help or harm depending on human choices?,"Spreadsheets, charts, algorithms, debugging, privacy, bias, accessibility, media design, and ethical technology",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
34,A++ Big Question Capstone Research,Capstone Research,"What serious question can I investigate with evidence, calculation, design, and care?","Independent inquiry, research plan, source notes, math/data component, science/social model, prototype, and timeline",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
35,Capstone Studio and Oral Defense,Capstone Studio,"How can I defend my evidence clearly, respectfully, and publicly?","Draft, revise, build, calculate, design, peer critique, presentation media, oral defense, and reflection",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
36,Final Review and Grade 8 Readiness,Final,How am I ready for eighth grade and high-school preparation?,"Cumulative final, portfolio defense, certificate, Grade 8 readiness, study habits, reflection, and celebration",KHAE-ELA-7; KHAE-MATH-7; KHAE-SCI-MS7; KHAE-SS-7; KHAE-WL-7; KHAE-ART-7; KHAE-PEH-7; KHAE-TECH-7; KHAE-IP-7; KHAE-PORT-7
