Week,Title,Lens,Essential Question,Theme,Standards
11,Bivariate Data and Linear Models,Bivariate Data,How can data suggest relationships without proving causation?,"Scatter plots, association, trend lines, two-way tables, data ethics, and written data arguments",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
12,"Probability, Statistics, and Risk",Uncertainty,How can probability and statistics help us judge uncertainty?,"Probability, sampling, variability, predictions, risk communication, civic decisions, and media literacy",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
13,"Literary Theme, Perspective, and Modern Connections",Literary Connections,How do authors transform old patterns into new meanings?,"Theme development, character complexity, point of view, modern adaptations, and Socratic seminar",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
14,Argument Analysis and Media Literacy,Argument Evaluation,How can we evaluate whether an argument deserves our trust?,"Claims, counterclaims, reasoning, evidence relevance/sufficiency, rhetoric, bias, media messages, and credibility",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
15,Research Writing and High School Source Skills,Research,How do researchers synthesize multiple sources into a trustworthy explanation?,"Research questions, source credibility, paraphrase, citation notes, synthesis, thesis, outline, and revision",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
16,"Narrative, Poetry, and Rhetorical Voice",Voice,How can style and voice strengthen meaning?,"Narrative craft, poetry, rhetorical devices, tone, rhythm, performance, and revision",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
17,Midyear Portfolio and Assessment,Midterm,How can I prove growth across every subject?,"Cumulative review, midterm, research checkpoint, Algebra readiness defense, science notebook audit, and advisory reflection",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
18,"Matter, Atoms, and Chemical Reactions",Matter,How can particle models explain chemical change?,"Atoms, molecules, conservation, reactions, mixtures, periodic table foundations, lab safety, and CER writing",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
19,"Forces, Motion, and Engineering Systems",Forces,How do forces and motion interact in engineered systems?,"Newtonian foundations, forces, motion graphs, variables, systems, engineering design, and technical writing",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
20,"Energy, Waves, and Information Transfer",Waves,How do energy and waves move information through systems?,"Energy transfer, waves, electromagnetic spectrum foundations, information transfer, media and communication",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
21,"Earth, Space, and Cosmic Scale",Space Systems,How can models help us understand systems too large to experience directly?,"Earth-Sun-Moon systems, gravity foundations, seasons, tides, solar system scale, and model evaluation",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
22,"Geologic Time, Fossils, and Evolution Evidence",Evolution Evidence,How does evidence from Earth history explain change over time?,"Geologic time, rock strata, fossils, natural selection foundations, evidence, and scientific explanation",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
23,"Genetics, Inheritance, and Bioethics",Genetics,"How do inheritance, environment, and ethics intersect?","Genes, traits, inheritance models, variation, environment, probability, and ethical scientific communication",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
24,"Ecosystems, Human Impact, and Sustainability",Sustainability,How can evidence guide responsible choices for living systems?,"Ecosystem stability, biodiversity, resources, climate links, human impact, and stewardship proposals",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
25,Founding Ideas and Constitutional Principles,Founding,How do founding ideas shape public responsibility?,"Natural rights, rule of law, constitutional principles, separation of powers, federalism, and civic vocabulary",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
26,"Revolution, Independence, and Civic Argument",Revolution,How do people justify resistance and self-government?,"American Revolution foundations, grievances, independence, rhetoric, primary sources, and argumentative writing",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
27,"Constitution, Bill of Rights, and Civic Design",Constitution,How do rights and structures protect liberty and limit power?,"Constitutional structure, Bill of Rights, amendments, rights/responsibilities, case scenarios, and civic design",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
28,"Expansion, Reform, and Conflict",Reform,How do growth and reform create opportunity and conflict?,"Expansion, reform movements, geography, economics, rights conflicts, source analysis, and perspective",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
29,Civil War and Reconstruction Foundations,Reconstruction,How does a nation rebuild after conflict and injustice?,"Sectionalism, Civil War causes, emancipation, Reconstruction, citizenship, amendments, and historical argument",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
30,"Economics, Labor, and Civic Life",Economics,How do economic systems shape opportunity and civic life?,"Markets, labor, entrepreneurship, budgets, taxes, public goods, inequality, ethics, and economic decision-making",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
31,"World Languages, Diplomacy, and Cultural Protocol",Diplomacy,How can language and cultural knowledge prevent misunderstanding?,"Language families, grammar patterns, diplomacy phrases, translation limits, cultural protocol, and respectful communication",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
32,"Technology, Algorithms, Data Ethics, and AI Readiness",AI Readiness,How can technology amplify human judgment without replacing responsibility?,"Algorithms, bias, privacy, spreadsheets, charts, source notes, ethical media, accessibility, and AI-readiness habits",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
33,High School Planning and Wellness Systems,Wellness Systems,How do healthy systems support high school success?,"Course planning, study systems, time management, digital wellness, stress regulation, fitness planning, and self-advocacy",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
34,A++ High School Readiness Capstone Research,Capstone Research,"What serious question can I investigate with evidence, calculation, design, and public responsibility?","Independent inquiry, research plan, source notes, algebra/data component, science/civic model, prototype, and timeline",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
35,Capstone Studio and Entrance Defense,Capstone Studio,How can I defend my evidence clearly enough for high-school-level expectations?,"Draft, revise, build, calculate, design, peer critique, presentation media, oral defense, and reflection",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
36,Final Review and High School Transition,Final,How am I ready for high school?,"Cumulative final, portfolio defense, certificate, high school readiness plan, study habits, reflection, and celebration",KHAE-ELA-8; KHAE-MATH-8; KHAE-SCI-MS8; KHAE-SS-8; KHAE-WL-8; KHAE-ART-8; KHAE-PEH-8; KHAE-TECH-8; KHAE-IP-8; KHAE-PORT-8
