Week,Title,Lens,Essential Question,Theme,Standards
15,Thermal Energy and Phase Change,Thermal Energy,How does energy explain changes in matter?,"Thermal energy, temperature, phase changes, graphing, data interpretation, and CER writing",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
16,"Forces, Motion, and Systems",Forces,How do forces and systems explain motion?,"Forces, motion, variables, graphs, system models, fair tests, and technical writing",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
17,Midyear Portfolio and Assessment,Midterm,How can I prove growth across every subject?,"Cumulative review, midterm, research checkpoint, math defense, science notebook audit, and advisory reflection",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
18,"Waves, Sound, and Communication",Waves,How do waves carry energy and information?,"Wave models, sound, communication, media literacy, rhythm, and information transfer",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
19,"Light, Vision, and Media Interpretation",Light,How does light shape what we see and how we interpret media?,"Light, reflection, vision, visual media, diagrams, perspective, and evidence from models",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
20,"Cells, Systems, and Scientific Models",Cells,How do small structures support living systems?,"Cells as systems, structure/function, microscopes as tools, analogies, and explanatory models",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
21,Ecosystems and Energy Flow,Ecosystems,How do energy and matter move through ecosystems?,"Food webs, ecosystems, matter/energy flow, human impact, statistics, and environmental stewardship",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
22,Earth Systems and Water,Earth Systems,How do Earth systems interact and affect human life?,"Geosphere, hydrosphere, atmosphere, biosphere, water cycle, maps, resource use, and stewardship",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
23,"Weather, Climate, and Human Patterns",Weather Climate,How can patterns help communities prepare for change?,"Weather/climate data, graphs, regional patterns, natural hazards, and community resilience",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
24,Ancient River Civilizations,River Civilizations,How did rivers support early civilizations and complex societies?,"Mesopotamia, Egypt, Indus, China foundations, rivers, agriculture, writing, trade, and social structures",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
25,"Belief Systems, Law, and Culture",Culture Law,How do beliefs and laws shape community life?,"Ancient laws, belief systems, cultural practices, art, texts, fairness, and historical empathy",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
26,Classical Civilizations and Civic Ideas,Classical Civics,How did classical societies influence civic ideas and public life?,"Greece, Rome, civic participation, republics, philosophy, architecture, argument, and historical comparison",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
27,"Trade Routes, Migration, and Exchange",Trade Migration,How do movement and exchange transform societies?,"Silk Roads foundations, trade, migration, cultural diffusion, economics, maps, and perspective",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
28,World Languages and Cultural Communication,World Language,How does language carry culture and connection?,"Language families, scripts, greetings, cognates, translation limits, cultural respect, and global communication",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
29,Research Writing: From Question to Thesis,Research Writing,How do researchers build trustworthy explanations?,"Research questions, source evaluation, note-taking, paraphrase, thesis, evidence paragraphs, and citation routines",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
30,"Argument, Debate, and Public Speaking",Debate,How can disagreement become disciplined learning?,"Claims, reasons, evidence, counterclaims, rebuttal, speaking skills, audience, and respectful debate",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
31,"Arts, Media, and Message Design",Media Design,How do artists and media makers shape meaning?,"Visual rhetoric, music/media messages, dramatic interpretation, design choices, and artist statements",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
32,"Health, Identity, and Responsible Choices",Wellness,How do healthy routines support learning and identity?,"Nutrition, fitness planning, sleep, stress, digital wellness, adolescent health foundations, and self-advocacy",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
33,"Technology, Data, and Ethical Creation",Technology Ethics,How can tools strengthen evidence without replacing judgment?,"Spreadsheets, charts, algorithms, debugging, file systems, accessibility, source notes, and ethical media",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
34,A++ Big Question Capstone Research,Capstone Research,"What serious question can I investigate with evidence, calculation, and design?","Independent inquiry, research plan, source notes, data/math component, science/social model, prototype, and timeline",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
35,Capstone Studio and Oral Defense,Capstone Studio,How can I make my evidence clear enough to defend publicly?,"Draft, revise, build, calculate, design, peer critique, presentation media, oral defense, and reflection",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
36,Final Review and Grade 7 Readiness,Final,How am I ready for seventh grade?,"Cumulative final, portfolio defense, certificate, grade 7 readiness, study habits, reflection, and celebration",KHAE-ELA-6; KHAE-MATH-6; KHAE-SCI-MS; KHAE-SS-6; KHAE-WL-6; KHAE-ART-6; KHAE-PEH-6; KHAE-TECH-6; KHAE-IP-6; KHAE-PORT-6
